,ID,Date,Price,Bedrooms,Bathrooms,Sqft_living,Sqft_lot,Floors,Condition,Grade,Sqft_above,Sqft_basement,Year_built,Location
51,34000005,20140618T000000,343566,2,1,1100,4200,1,3,7,1100,0,1954,98136 - Seattle
52,34001304,20150410T000000,480000,5,2.25,2240,5500,1,3,7,1490,750,1959,98136 - Seattle
53,37000335,20140814T000000,446450,3,1.5,1480,7749,1,5,7,1480,0,1960,98126 - Seattle
54,37000435,20150214T000000,325000,2,1,1130,5070,1,4,7,1130,0,1955,98146 - Burien
55,40000228,20141015T000000,221900,2,1,780,6727,1,3,6,780,0,1939,98168 - SeaTac
56,40000235,20150414T000000,380000,5,2.5,2130,8428,2,3,7,2130,0,2013,98168 - SeaTac
57,40000362,20140506T000000,78000,2,1,780,16344,1,1,5,780,0,1942,98168 - SeaTac
58,40000471,20140604T000000,170000,2,1,1500,18540,1,3,8,1500,0,1950,98168 - SeaTac
59,40000553,20150304T000000,250000,2,1,1400,19570,1.5,3,6,1100,300,1929,98168 - SeaTac
60,40000669,20150319T000000,499950,4,2.5,2910,20067,2,3,9,2910,0,2001,98168 - SeaTac
61,40001065,20140529T000000,250000,2,1,1110,26051,1,3,6,1110,0,1951,98168 - SeaTac
62,41000454,20140815T000000,130000,2,1,880,9000,1,3,5,880,0,1928,98188 - SeaTac
63,42000006,20140910T000000,235000,5,1,1500,9282,1.5,5,6,1500,0,1966,98168 - SeaTac
64,42000065,20150305T000000,355000,2,1,1450,9150,1,4,7,1450,0,1965,98188 - SeaTac
65,42000127,20150224T000000,406500,3,1.5,1970,10080,1,3,7,1970,0,1966,98168 - SeaTac
66,42000130,20140924T000000,600000,5,4.5,4440,9784,2,3,10,4440,0,2012,98168 - SeaTac
67,42000245,20140613T000000,171000,4,2,1520,19672,1,3,6,1020,500,1920,98188 - SeaTac
68,49000051,20150316T000000,350000,2,1.75,1430,7921,1,3,7,1430,0,1983,98146 - Burien
69,49500090,20141205T000000,372000,4,1.5,1780,7914,1.5,4,7,1780,0,1962,98059 - Renton
70,50300090,20140811T000000,398950,4,3,3000,10297,2,3,8,3000,0,2003,98042 - Covington
71,50300220,20150212T000000,363000,4,2.5,2180,9281,2,3,8,2180,0,2004,98042 - Covington
72,52000067,20141103T000000,495000,3,3.5,1650,1577,2,3,7,1100,550,2012,98109 - Seattle
73,53500020,20150114T000000,248000,3,2.5,1870,4046,2,3,7,1870,0,2007,98042 - Covington
74,53500450,20150309T000000,311850,4,2.5,1890,4158,2,3,8,1890,0,2014,98042 - Covington
75,53500760,20141208T000000,287000,4,2.5,2660,4082,2,3,7,2660,0,2010,98042 - Covington
76,59000445,20140923T000000,590000,4,2.75,2240,5400,2,4,7,1540,700,1940,98116 - Seattle
77,59500050,20141216T000000,324900,4,2.25,2010,7280,2,4,8,2010,0,1988,98032 - Tukwila
78,65000085,20140708T000000,430000,3,2,1550,6039,1,5,7,830,720,1942,98126 - Seattle
79,65000210,20140626T000000,471000,2,1.75,1240,6417,1,5,7,1240,0,1924,98126 - Seattle
80,66000070,20150406T000000,315000,2,1,630,6550,1,3,5,630,0,1918,98126 - Seattle
81,66000140,20141120T000000,398000,3,1,1480,6550,1.5,4,6,1480,0,1925,98126 - Seattle
82,66000265,20140807T000000,370000,2,1,820,6550,1,3,7,820,0,1949,98126 - Seattle
83,84000105,20140507T000000,255000,5,2.25,2060,8632,1,3,7,1030,1030,1962,98146 - Burien
84,84000245,20141120T000000,190000,3,1.75,1100,9452,1,3,6,1100,0,1942,98146 - Burien
85,84000335,20140626T000000,225000,3,2,1700,11475,1,5,6,970,730,1945,98146 - Burien
86,87000006,20150413T000000,275000,4,1.75,1680,19405,1,4,7,1560,120,1959,98055 - Renton
87,87000213,20140613T000000,129000,2,1,1150,30184,1,3,6,1150,0,1950,98055 - Renton
88,87000245,20140930T000000,170000,3,0.75,1040,42180,1,2,6,1040,0,1947,98055 - Renton
89,87000283,20141118T000000,359950,3,2.5,1980,7800,2,3,8,1980,0,1999,98055 - Renton
90,88000173,20141015T000000,333000,4,2,2750,9001,1,3,8,2750,0,2008,98055 - Renton
91,88000591,20150414T000000,212000,3,1,1000,9450,1,3,6,1000,0,1962,98055 - Renton
92,88000790,20140714T000000,252000,3,1,1170,9730,1,3,7,1170,0,1968,98055 - Renton
93,91000320,20140923T000000,393000,2,1,980,3350,1,4,7,980,0,1925,98103 - Seattle
94,97600140,20140729T000000,800000,4,2.5,2930,5000,2,3,9,2760,170,2007,98006 - Bellevue
95,98000060,20140714T000000,1060000,4,4,5320,20041,2,3,11,5320,0,2003,98075 - Sammamish
96,98000560,20140816T000000,959900,4,3.75,3550,15151,2,3,11,3550,0,2004,98075 - Sammamish
97,98000740,20150401T000000,945000,5,3.5,4380,14925,2,3,11,4380,0,2003,98075 - Sammamish
98,98000750,20141021T000000,1170000,5,3.75,4220,15959,2,3,11,4220,0,2004,98075 - Sammamish
99,98000960,20140513T000000,1050000,4,3.25,4400,16625,2,3,11,4400,0,2003,98075 - Sammamish
100,98000980,20150427T000000,1100000,4,3.5,4570,16219,2,3,11,4570,0,2002,98075 - Sammamish
101,98020140,20140708T000000,765000,4,4,3010,7221,2,3,10,3010,0,2004,98075 - Sammamish
102,98020220,20141030T000000,750000,4,2.5,3210,8938,2,3,10,3210,0,2005,98075 - Sammamish
103,98020300,20150203T000000,759000,5,2.75,3490,8230,2,3,10,3490,0,2005,98075 - Sammamish
104,98020310,20140520T000000,730000,4,2.5,3230,7331,2,3,10,3230,0,2004,98075 - Sammamish
105,98020350,20150123T000000,720000,4,4,3200,7708,2,3,10,3200,0,2004,98075 - Sammamish
106,98020410,20140721T000000,802500,4,3.75,3320,8030,2,3,10,3320,0,2005,98075 - Sammamish
107,98020480,20140828T000000,885000,4,2.5,4090,11225,2,3,10,4090,0,2005,98075 - Sammamish
108,98020630,20150414T000000,889000,4,3.5,4070,10976,2,3,10,4070,0,2004,98075 - Sammamish
109,98030140,20141013T000000,785500,4,4,3280,8448,2,3,10,3280,0,2007,98075 - Sammamish
110,98030160,20150212T000000,797000,3,3.5,3500,9473,2,3,10,3500,0,2008,98075 - Sammamish
111,98030400,20140711T000000,790000,4,3.5,3560,6098,2,3,10,3560,0,2006,98075 - Sammamish
112,98030530,20140610T000000,745000,4,3.25,3490,7024,2,3,10,3490,0,2006,98075 - Sammamish
113,98030630,20141215T000000,852500,5,3.75,3830,8131,2,3,10,3830,0,2005,98075 - Sammamish
114,98030660,20150311T000000,815000,4,2.5,3880,7208,2,3,10,3880,0,2006,98075 - Sammamish
115,98300230,20150428T000000,1460000,4,4,4620,130208,2,3,10,4620,0,2014,98024 - Fall City
116,100100050,20141112T000000,275000,3,1,1320,11090,1,3,7,1320,0,1955,98155 - Shoreline
117,100300280,20141020T000000,355000,3,2.25,1430,4777,2,3,7,1430,0,2010,98059 - Renton
118,100300500,20141121T000000,333000,3,2.5,1520,3041,2,3,7,1520,0,2009,98059 - Renton
119,100300530,20140925T000000,330000,3,2.5,1520,3003,2,3,7,1520,0,2009,98059 - Renton
120,100500020,20140911T000000,250000,3,2.5,1610,6600,2,3,7,1610,0,1994,98003 - Federal Way
121,100600320,20140813T000000,213950,3,1,1430,7000,1,3,6,1430,0,1968,98023 - Federal Way
122,100600550,20140804T000000,226500,3,1.5,1300,7370,1,4,7,900,400,1976,98023 - Federal Way
123,100600860,20150324T000000,237500,3,1.75,1050,7854,1,4,7,1050,0,1975,98023 - Federal Way
124,103000116,20140722T000000,645000,3,1.75,2070,5500,1,4,7,1130,940,1946,98115 - Seattle
125,103400160,20140515T000000,263000,3,2.25,1590,7748,2,4,7,1590,0,1991,98003 - Federal Way
126,104500730,20150224T000000,115000,3,1.75,1080,7942,1,3,7,1080,0,1981,98023 - Federal Way
127,104501040,20141003T000000,249900,4,2,1500,7854,1.5,3,7,1500,0,1983,98023 - Federal Way
128,104510180,20150211T000000,230000,3,2.25,1500,7210,1,3,7,1150,350,1984,98023 - Federal Way
129,104510230,20141119T000000,252000,3,2,1540,7210,2,4,7,1540,0,1984,98023 - Federal Way
130,104510340,20140925T000000,276200,3,2.5,1480,7210,1,3,7,1180,300,1986,98023 - Federal Way
131,104510440,20140604T000000,219950,3,2.25,1500,7615,1,3,7,1150,350,1984,98023 - Federal Way
132,104530110,20141008T000000,268000,3,2.5,1850,6676,2,3,7,1850,0,1986,98023 - Federal Way
133,104530240,20140827T000000,225000,3,2,1320,5665,1,3,7,1320,0,1986,98023 - Federal Way
134,104530490,20140516T000000,248000,4,3.5,1850,6519,2,3,7,1130,720,1986,98023 - Federal Way
135,104540820,20140812T000000,221000,3,2.25,1430,5999,2,3,7,1430,0,1987,98023 - Federal Way
136,104540840,20141203T000000,240000,3,2.25,1460,5818,1,3,7,1140,320,1986,98023 - Federal Way
137,104550520,20150330T000000,270000,4,2.5,1750,6397,2,3,7,1750,0,1988,98023 - Federal Way
138,104550540,20150120T000000,259950,4,2,1610,6650,1,3,7,1610,0,1989,98023 - Federal Way
139,104550580,20140520T000000,260000,4,2.5,1990,6671,2,3,7,1990,0,1989,98023 - Federal Way
140,104550660,20140728T000000,275000,3,2.5,1870,6821,2,3,7,1870,0,1989,98023 - Federal Way
141,104550690,20140725T000000,282000,4,2.75,2390,7330,2,3,7,2390,0,1989,98023 - Federal Way
142,104550740,20141201T000000,299000,3,2.5,2450,7062,2,3,8,2450,0,1993,98023 - Federal Way
143,104550750,20140728T000000,241000,3,2,1520,7131,1,3,8,1520,0,1993,98023 - Federal Way
144,104560010,20140610T000000,278500,4,2.5,1940,6206,2,3,7,1940,0,1990,98023 - Federal Way
145,104560120,20140718T000000,304400,4,2.75,2140,8100,2,4,7,2140,0,1990,98023 - Federal Way
146,104560280,20140522T000000,273000,4,3,1990,6180,2,3,7,1990,0,1990,98023 - Federal Way
147,104560540,20140917T000000,310000,4,2.75,2370,7320,2,3,7,2370,0,1989,98023 - Federal Way
148,106000015,20140619T000000,435000,3,1.75,1310,8065,1,4,6,1310,0,1948,98117 - Seattle
149,106000044,20140826T000000,399950,3,1,1470,7930,1,3,7,1070,400,1950,98177 - Seattle
150,106000320,20141031T000000,401000,2,1,840,8100,1,4,7,840,0,1948,98177 - Seattle
151,106000395,20140624T000000,405000,3,1,1410,8053,1,4,7,1410,0,1951,98177 - Seattle
152,108000127,20141209T000000,456500,4,3.5,2000,2309,3,3,8,2000,0,2008,98177 - Seattle
153,109000040,20150316T000000,305000,3,1.75,1460,7862,1,3,7,1460,0,1965,98155 - Shoreline
154,109200140,20150506T000000,299000,4,2.5,2300,8100,1,4,8,1360,940,1979,98023 - Federal Way
155,109200390,20140820T000000,245000,3,1.75,1480,3900,1,4,7,1480,0,1980,98023 - Federal Way
156,109200390,20141020T000000,250000,3,1.75,1480,3900,1,4,7,1480,0,1980,98023 - Federal Way
157,109200730,20140506T000000,218000,3,1.75,1850,7684,1,3,8,1320,530,1979,98023 - Federal Way
158,109210280,20141111T000000,220000,4,2.25,1950,7280,2,4,8,1950,0,1979,98023 - Federal Way
159,109210460,20141029T000000,270000,3,2,2330,8000,1,3,7,1390,940,1986,98023 - Federal Way
160,110000040,20150317T000000,278000,5,1.5,1820,8712,1,5,7,1090,730,1960,98032 - Tukwila
161,111000190,20150209T000000,146000,2,1,780,9750,1,3,6,780,0,1937,98168 - SeaTac
162,112900020,20140701T000000,300000,3,2.25,1660,5128,2,3,7,1660,0,2001,98019 - Duvall
163,112900110,20140903T000000,345000,3,2.5,1620,5992,2,3,7,1620,0,2001,98019 - Duvall
164,114100131,20150114T000000,559950,5,3.5,2450,8193,2,3,9,2450,0,2005,98028 - Kenmore
165,114100155,20140627T000000,355000,2,2.25,1330,10838,2,3,8,1330,0,1985,98028 - Kenmore
166,114100234,20150430T000000,402500,3,2.25,2160,9540,2,3,8,2160,0,1979,98028 - Kenmore
167,114100297,20140922T000000,400000,3,1.75,1560,8456,1,5,7,1560,0,1970,98028 - Kenmore
168,114100304,20141203T000000,515000,4,2.5,2800,21370,2,3,8,2800,0,2003,98028 - Kenmore
169,114100314,20150318T000000,285000,3,1.5,1480,7117,1,3,7,1170,310,1960,98028 - Kenmore
170,114100354,20141212T000000,249000,3,1,1090,10296,1,4,6,1090,0,1950,98028 - Kenmore
171,114100745,20140506T000000,475000,6,3,3470,117612,1.5,3,7,3470,0,1924,98028 - Kenmore
172,114100758,20141022T000000,420000,2,1,960,112384,1,3,7,960,0,1955,98028 - Kenmore
173,114100763,20140728T000000,230000,3,0.75,1040,15000,1,3,6,1040,0,1941,98028 - Kenmore
174,114100791,20150403T000000,250000,3,1.5,1170,9848,1,3,7,1170,0,1963,98028 - Kenmore
175,114101055,20141223T000000,383000,3,2.5,1720,10031,2,3,8,1720,0,1993,98028 - Kenmore
176,114101161,20140829T000000,480000,3,1.5,2100,67269,1,4,7,1220,880,1949,98028 - Kenmore
178,114101500,20150417T000000,325000,4,1.75,1370,9993,1,3,6,1370,0,1918,98028 - Kenmore
179,114101505,20150423T000000,630000,5,3.5,4060,8309,2,3,9,2960,1100,2001,98028 - Kenmore
180,114101516,20140528T000000,310000,3,1,1430,19901,1.5,4,7,1430,0,1927,98028 - Kenmore
181,114101540,20140821T000000,415000,3,1,2020,19210,1,3,6,1760,260,1949,98028 - Kenmore
182,114700150,20141114T000000,236000,3,1.75,1560,10919,1,3,7,1560,0,1975,98023 - Federal Way
183,117000001,20140527T000000,540000,4,4.25,1960,3565,2,3,7,1960,0,1940,98116 - Seattle
184,117000003,20140919T000000,595000,4,2.25,1920,3225,1.5,5,7,1300,620,1923,98116 - Seattle
185,117000100,20150319T000000,680000,3,1.75,1660,5750,1,4,7,1080,580,1909,98116 - Seattle
186,120059044,20150217T000000,250000,3,1.75,1628,286355,1,3,7,1628,0,1996,98092 - Auburn
187,120069059,20140804T000000,550000,3,2.5,2920,169448,2.5,3,9,2920,0,1990,98022 - Naco
188,121039038,20140819T000000,169000,3,1.5,1470,18459,2,4,6,1470,0,1916,98023 - Federal Way
189,121059007,20140808T000000,210000,4,1,1200,43560,1,3,5,1200,0,1968,98042 - Covington
190,121059038,20150324T000000,397900,3,2.75,2500,35245,1,3,7,1580,920,2000,98042 - Covington
191,121059147,20141104T000000,392000,4,2.5,2300,41167,2,3,7,2300,0,1988,98042 - Covington
192,122029066,20150508T000000,490000,3,1.75,2020,215622,2,4,7,2020,0,1975,98070 - Vashon
193,122069107,20141204T000000,427500,3,1.5,1900,43186,1.5,4,7,1300,600,1971,98038 - Hobart
194,123000110,20140930T000000,520000,2,1,910,5000,1,3,7,910,0,1924,98107 - Seattle
195,123039128,20140904T000000,325000,4,1,1400,9384,1.5,4,6,1400,0,1948,98106 - Seattle
196,123039147,20150319T000000,464950,3,2,2190,19800,1,3,7,2190,0,1994,98146 - Burien
197,123039176,20141212T000000,399888,4,1,2370,30200,1.5,4,7,1570,800,1948,98146 - Burien
198,123039207,20141209T000000,283000,4,2,2100,8160,1,3,7,1200,900,1959,98106 - Seattle
199,123039279,20140711T000000,165000,2,1,640,7768,1,3,6,640,0,1942,98106 - Seattle
200,123039313,20150410T000000,425000,4,2.5,1920,9000,2,2,7,1920,0,1989,98126 - Seattle
201,123039333,20140609T000000,240000,4,1,1910,16320,1.5,3,6,1910,0,1934,98106 - Seattle
202,123039336,20140611T000000,148000,1,1,620,8261,1,3,5,620,0,1939,98106 - Seattle
203,123039336,20141208T000000,244900,1,1,620,8261,1,3,5,620,0,1939,98106 - Seattle
204,123039346,20150430T000000,335000,3,1.75,1260,17000,1,3,7,1260,0,1994,98146 - Burien
205,123039364,20140521T000000,300000,2,1,970,13700,1,3,6,970,0,1949,98106 - Seattle
206,123039376,20140820T000000,535000,4,2.75,2360,15100,1,3,8,2360,0,2014,98146 - Burien
207,123039420,20150428T000000,309000,3,1,1300,7200,1,4,7,1300,0,1952,98146 - Burien
208,123039424,20140710T000000,303000,2,2,970,9750,1,5,6,970,0,1940,98146 - Burien
209,123039570,20140708T000000,485000,4,2.25,1900,7200,1,3,8,1370,530,1977,98146 - Burien
210,123039604,20140701T000000,102500,2,1,820,4320,1,3,5,820,0,1937,98106 - Seattle
211,123039626,20141022T000000,295000,3,2.25,1330,7200,1,3,7,900,430,1974,98146 - Burien
212,123039633,20140909T000000,359950,3,1.75,1570,6975,1,3,7,1040,530,1979,98126 - Seattle
213,123039642,20150501T000000,540000,3,2.5,1970,14876,1,3,7,1320,650,1981,98146 - Burien
214,123059042,20150423T000000,530000,3,2.25,2190,220414,1,4,7,1330,860,1976,98059 - Renton
215,123059046,20150326T000000,471000,4,2.25,3410,57063,2,4,8,2410,1000,1978,98059 - Renton
216,123059127,20140502T000000,625000,4,3.25,2730,54014,1,3,9,1560,1170,2007,98059 - Renton
217,123079023,20141124T000000,356000,2,1,1430,365904,1,3,7,1010,420,1991,98065 - Tokul
218,124000160,20140701T000000,563000,4,1,1410,3376,1.5,5,7,1410,0,1911,98107 - Seattle
219,124069032,20140505T000000,600000,3,1.75,1670,39639,1,4,8,1670,0,1976,98075 - Sammamish
220,125039021,20140924T000000,575000,2,1,1230,2726,1.5,3,7,880,350,1920,98117 - Seattle
221,125039025,20140611T000000,530000,3,1.75,1550,3680,1,3,7,1050,500,1927,98117 - Seattle
222,125059138,20140722T000000,510000,6,4.5,3300,7561,2,3,8,3300,0,1980,98052 - Redmond
223,125059178,20140722T000000,510000,6,4.5,3300,7480,2,3,8,3300,0,1980,98052 - Redmond
224,125059179,20140723T000000,510000,6,4.5,3300,7200,2,3,8,3300,0,1980,98052 - Redmond
225,126039213,20141203T000000,365500,2,1,1140,15624,1,4,6,1140,0,1909,98177 - Seattle
226,126039252,20140709T000000,415000,4,1.5,1840,11367,1.5,4,7,1840,0,1950,98177 - Seattle
227,126039256,20140904T000000,434900,3,2,1520,5040,2,3,7,1520,0,1977,98177 - Seattle
228,126039305,20141013T000000,345000,1,1,540,10125,1,3,5,540,0,1961,98177 - Seattle
229,126039323,20150224T000000,417500,5,1.75,2060,10911,1,4,7,1360,700,1954,98177 - Seattle
230,126039394,20150508T000000,525000,4,2.75,2300,26650,1,4,8,2300,0,1950,98177 - Seattle
231,126039413,20140710T000000,469000,5,2.5,2690,11745,1,3,8,1790,900,1960,98177 - Seattle
232,126039467,20150114T000000,700000,4,2.5,3040,7200,2,3,9,3040,0,2008,98177 - Seattle
233,126039599,20150326T000000,475000,4,2.25,1800,7200,1,3,7,1230,570,1979,98177 - Seattle
234,126049100,20141104T000000,398000,3,1.75,1830,27468,1,3,7,1830,0,1954,98028 - Kenmore
235,126049167,20140619T000000,380000,4,2.25,2150,20181,1,3,7,1090,1060,1963,98028 - Kenmore
236,126049169,20140828T000000,450000,3,1.75,1540,61419,1,3,7,1540,0,1967,98028 - Kenmore
237,126049217,20140604T000000,400000,3,1.75,1530,10731,1,3,7,1530,0,1986,98028 - Kenmore
238,126049231,20140516T000000,445000,3,3,1970,24318,1,3,8,1970,0,2010,98028 - Kenmore
239,126059005,20150115T000000,547000,5,3,2200,103237,1,3,7,1160,1040,1971,98072 - Cottage Lake
240,126059018,20150108T000000,395000,4,2.25,1780,10748,2,4,8,1780,0,1964,98072 - Cottage Lake
241,126059019,20150316T000000,799000,4,2.5,3170,94855,1,4,9,1910,1260,1978,98072 - Cottage Lake
242,126059021,20150402T000000,200000,4,1,1020,42966,1.5,4,6,1020,0,1922,98072 - Cottage Lake
243,126059097,20141023T000000,775000,3,3.5,2690,104544,2,3,8,2690,0,1948,98072 - Cottage Lake
244,126059225,20140806T000000,525000,3,1.75,2300,43560,1,4,7,1350,950,1979,98077 - Cottage Lake
245,126059242,20141119T000000,550000,3,1.75,1880,45738,1,4,8,1410,470,1980,98072 - Cottage Lake
246,126059310,20141130T000000,1000000,3,2.25,3040,52302,1,3,9,3040,0,2005,98072 - Cottage Lake
247,127100005,20150401T000000,377000,4,1.75,1800,8385,1,5,6,900,900,1950,98133 - Seattle
248,128500260,20140508T000000,262000,4,2.5,2020,6236,2,3,7,2020,0,2002,98001 - Auburn
249,130000175,20140806T000000,655000,4,2.75,3160,8197,1,3,8,1580,1580,1962,98115 - Seattle
250,133000070,20140916T000000,179900,2,1,680,6400,1,3,6,680,0,1943,98168 - SeaTac
251,133000127,20140623T000000,265000,3,1,1620,9450,1.5,3,7,1620,0,1928,98168 - SeaTac
252,133000135,20141120T000000,290000,4,1.75,1990,18900,2,4,7,1870,120,1929,98168 - SeaTac
253,133000271,20141201T000000,355000,5,2.5,2540,5100,2,3,7,2540,0,2014,98168 - SeaTac
254,142000165,20140507T000000,749950,4,2.75,2600,6050,2,5,8,1960,640,1949,98116 - Seattle
255,142000175,20140822T000000,625000,3,1.75,2240,6050,1,4,8,1250,990,1950,98116 - Seattle
256,148000072,20140818T000000,600000,2,2.5,1830,1988,2,3,9,1530,300,2011,98116 - Seattle
257,148000375,20140619T000000,945000,2,2.5,2540,7089,2,3,9,2540,0,2004,98116 - Seattle
258,148000440,20140818T000000,313300,2,1,970,4800,1,3,6,970,0,1911,98116 - Seattle
259,148000450,20140530T000000,399000,2,1,940,4800,1,4,6,940,0,1911,98116 - Seattle
260,148000680,20141027T000000,530000,3,1.75,1660,4800,1,3,7,960,700,1941,98116 - Seattle
261,148000705,20150305T000000,900000,4,3.5,3070,4440,2,3,9,2030,1040,1922,98116 - Seattle
262,151000075,20150206T000000,856000,3,2.5,2160,3920,2,3,9,2160,0,2014,98116 - Seattle
263,162500015,20141020T000000,362500,5,2,2330,8586,1,4,7,1270,1060,1961,98133 - Seattle
264,162500030,20141205T000000,324000,3,1,1160,7202,1,4,7,1160,0,1957,98133 - Seattle
265,163000010,20140702T000000,330000,4,2.5,2105,6093,2,3,8,2105,0,2003,98042 - Covington
266,164000174,20140908T000000,300000,3,1,1010,6300,1,3,7,1010,0,1957,98133 - Seattle
267,164000237,20140612T000000,495000,4,2.5,2140,7245,2,3,7,2140,0,2003,98133 - Seattle
268,164000261,20140521T000000,700000,4,3.25,2780,7875,2,3,9,2780,0,2006,98133 - Seattle
269,164000267,20141016T000000,311300,2,1,1000,7228,1,4,7,1000,0,1947,98133 - Seattle
270,164000271,20140905T000000,340000,3,1,980,7228,1.5,3,7,980,0,1946,98133 - Seattle
271,164000361,20150421T000000,799000,4,1.5,1810,6583,1,3,7,1500,310,1968,98133 - Seattle
272,170000060,20141008T000000,1200000,5,3.5,3900,4400,2,3,9,2650,1250,2014,98107 - Seattle
273,170000215,20150324T000000,752500,5,2.75,2720,4680,1.5,4,8,1710,1010,1913,98107 - Seattle
